City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,55.0,Clouds,-46.1927,168.8643,Ellie's Villa
1,Jalalabad,AF,70.61,Clear,34.4265,70.4515,انصاف چهاردهي هوټل
2,Busselton,AU,52.0,Clouds,-33.65,115.3333,Observatory Guest House
3,Athabasca,CA,41.0,Clouds,54.7169,-113.2854,Athabasca Lodge Motel
6,Chitungwiza,ZW,64.0,Clouds,-18.0127,31.0756,Damview Hotel
7,Bluff,NZ,55.0,Clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
10,Bengkulu,ID,74.35,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Hobart,AU,55.4,Clouds,-42.8794,147.3294,Mantra on Collins Hobart
15,Himatangi,NZ,55.0,Clouds,-40.4,175.3167,
16,Lasa,IT,59.0,Clouds,46.6166,10.7002,Pension Feldgärtenhof
17,Sheboygan,US,55.99,Clouds,43.7333,-87.9334,Baymont by Wyndham Plymouth
18,Port Lincoln,AU,58.03,Clouds,-34.7333,135.8667,Port Lincoln Hotel
19,Ushuaia,AR,55.4,Clouds,-54.8,-68.3,Albatros Hotel
25,College,US,41.0,Clouds,64.8569,-147.8028,Pike's Waterfront Lodge
26,Hilo,US,70.0,Clear,19.7297,-155.09,Hilo Hawaiian Hotel
28,Husavik,IS,44.6,Clouds,66.0449,-17.3389,Bjarnabúð
30,Airai,TL,56.59,Clouds,-8.9266,125.4092,Juvinal Martin
31,Cape Town,ZA,72.0,Clear,-33.9258,18.4232,Southern Sun Waterfront Cape Town
32,New Norfolk,AU,55.0,Clouds,-42.7826,147.0587,The Shingles Riverside Cottages
33,Rockhampton,AU,66.2,Clear,-23.3833,150.5,Mercure Rockhampton
34,Amasya,TR,66.2,Rain,40.6667,35.8333,Lalehan Hotel
35,Fairbanks,US,41.0,Clear,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
36,Baoro,CF,73.15,Rain,5.6667,15.9667,
37,Cidreira,BR,73.08,Clouds,-30.1811,-50.2056,Hotel Castelo
39,Pacific Grove,US,60.01,Clear,36.6177,-121.9166,Lovers Point Inn
45,Bredasdorp,ZA,73.4,Clouds,-34.5322,20.0403,Bredasdorp Country Manor
49,Punta Arenas,CL,48.2,Clear,-53.15,-70.9167,Hotel Dreams Del Estrecho
52,Hermanus,ZA,66.0,Clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Vila Franca Do Campo,PT,64.4,Clouds,37.7167,-25.4333,Pestana Bahia Praia
54,Sitka,US,51.8,Clear,57.0531,-135.33,Westmark Sitka
55,Albany,US,55.99,Clouds,42.6001,-73.9662,
56,Homer,US,48.2,Clear,59.6425,-151.5483,Beluga Lake Lodge
64,Hamilton,US,62.01,Clear,39.1834,-84.5333,Six Acres Bed & Breakfast
66,Port Alfred,ZA,73.63,Clear,-33.5906,26.891,The Halyards Hotel
68,Urumqi,CN,60.8,Clear,43.801,87.6005,Hua Ling Grand Hotel Urumqi
69,Gualaquiza,EC,74.17,Rain,-3.4,-78.55,Hotel Merceditas
71,Fuyu,CN,47.79,Clear,45.1833,124.8167,Education Hostel
72,Inhambane,MZ,71.01,Clouds,-23.865,35.3833,Oceano
76,Gravdal,NO,48.2,Clear,68.1214,13.5031,Skreda Rorbusuiter
78,Makokou,GA,72.18,Rain,0.5738,12.8642,WAMY RESIDENCE HOTEL
80,Rawlins,US,46.0,Clear,41.7911,-107.2387,Holiday Inn Express Rawlins
81,Kruisfontein,ZA,69.01,Clear,-34.0033,24.7314,Oyster Bay House Rental
82,Coracora,PE,63.61,Clear,-15.0333,-73.7833,coracora - ayachucho
83,Liverpool,GB,60.8,Clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
85,Magdeburg,DE,50.0,Clouds,52.1667,11.6667,sleep & go Hotel Magdeburg
89,Mayo,US,64.0,Clear,38.8876,-76.5119,Resorts Resource Group International
94,Hornepayne,CA,49.96,Clouds,49.2138,-84.7705,Jackfish River Inn
95,Ukiah,US,71.01,Clear,39.1502,-123.2078,Hampton Inn Ukiah
96,Constitucion,CL,65.23,Clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
98,Ancud,CL,55.4,Rain,-41.8697,-73.8203,Hotel Arena Gruesa
99,Kapaa,US,71.6,Clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
