City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,55.0,84,88,5.99,Clouds
1,Jalalabad,AF,34.4265,70.4515,70.61,29,0,3.31,Clear
2,Busselton,AU,-33.65,115.3333,52.0,85,40,7.47,Clouds
3,Athabasca,CA,54.7169,-113.2854,41.0,56,94,11.5,Clouds
4,Sumenep,ID,-7.0167,113.8667,77.58,81,89,4.94,Clouds
5,Sabha,LY,27.0377,14.4283,85.93,20,98,14.05,Clouds
6,Chitungwiza,ZW,-18.0127,31.0756,64.0,68,68,5.01,Clouds
7,Bluff,NZ,-46.6,168.3333,55.0,84,77,5.99,Clouds
8,Saskylakh,RU,71.9167,114.0833,2.77,93,99,8.86,Clouds
9,Teya,RU,60.3778,92.6267,14.92,97,100,2.13,Clouds
10,Bengkulu,ID,-3.8004,102.2655,74.35,91,82,4.63,Clouds
11,Nome,US,64.5011,-165.4064,35.6,64,1,11.5,Clear
12,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,20,11.5,Clouds
13,Hobart,AU,-42.8794,147.3294,55.4,58,82,13.8,Clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,75.2,64,75,13.8,Clouds
15,Himatangi,NZ,-40.4,175.3167,55.0,86,69,1.99,Clouds
16,Lasa,IT,46.6166,10.7002,59.0,45,20,6.91,Clouds
17,Sheboygan,US,43.7333,-87.9334,55.99,47,20,1.81,Clouds
18,Port Lincoln,AU,-34.7333,135.8667,58.03,79,20,7.7,Clouds
19,Ushuaia,AR,-54.8,-68.3,55.4,54,40,18.41,Clouds
20,Kieta,PG,-6.2167,155.6333,78.82,79,61,3.11,Clouds
21,Yar-Sale,RU,66.8333,70.8333,-7.11,99,59,8.41,Clouds
22,La Romana,DO,18.4273,-68.9728,86.0,66,40,16.11,Clouds
23,Ilebo,CD,-4.3167,20.5833,78.01,81,98,1.74,Clouds
24,Buala,SB,-8.145,159.5921,79.68,83,69,4.34,Rain
25,College,US,64.8569,-147.8028,41.0,48,40,4.61,Clouds
26,Hilo,US,19.7297,-155.09,70.0,68,1,4.61,Clear
27,Khatanga,RU,71.9667,102.5,-2.22,95,100,7.65,Clouds
28,Husavik,IS,66.0449,-17.3389,44.6,42,75,17.27,Clouds
29,Turukhansk,RU,65.8167,87.9833,15.35,80,100,14.7,Clouds
30,Airai,TL,-8.9266,125.4092,56.59,77,83,2.35,Clouds
31,Cape Town,ZA,-33.9258,18.4232,72.0,73,0,14.97,Clear
32,New Norfolk,AU,-42.7826,147.0587,55.0,75,100,1.01,Clouds
33,Rockhampton,AU,-23.3833,150.5,66.2,82,0,3.44,Clear
34,Amasya,TR,40.6667,35.8333,66.2,52,75,11.5,Rain
35,Fairbanks,US,64.8378,-147.7164,41.0,52,1,6.91,Clear
36,Baoro,CF,5.6667,15.9667,73.15,83,95,2.57,Rain
37,Cidreira,BR,-30.1811,-50.2056,73.08,77,13,13.44,Clouds
38,Nkayi,CG,-4.1841,13.2884,76.6,93,100,3.8,Rain
39,Pacific Grove,US,36.6177,-121.9166,60.01,67,1,4.61,Clear
40,Bembereke,BJ,10.2283,2.6634,86.68,44,100,9.4,Clouds
41,Torbay,CA,47.6666,-52.7314,37.99,100,90,25.32,Rain
42,Hithadhoo,MV,-0.6,73.0833,83.37,62,8,7.0,Clear
43,Zabid,YE,14.1951,43.3152,82.76,51,43,6.04,Clouds
44,Qaqortoq,GL,60.7167,-46.0333,32.0,27,37,8.05,Clouds
45,Bredasdorp,ZA,-34.5322,20.0403,73.4,33,15,13.8,Clouds
46,San Cristobal,VE,7.7669,-72.225,95.0,31,40,16.11,Clouds
47,Rincon,US,32.296,-81.2354,77.0,56,75,8.05,Clouds
48,Rikitea,PF,-23.1203,-134.9692,76.96,74,2,7.18,Clear
49,Punta Arenas,CL,-53.15,-70.9167,48.2,81,0,6.91,Clear
50,Carnarvon,AU,-24.8667,113.6333,75.69,71,0,18.95,Clear
51,Nouadhibou,MR,20.931,-17.0347,77.0,53,52,20.71,Sand
52,Hermanus,ZA,-34.4187,19.2345,66.0,69,13,5.14,Clouds
53,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,82,40,13.8,Clouds
54,Sitka,US,57.0531,-135.33,51.8,58,1,4.61,Clear
55,Albany,US,42.6001,-73.9662,55.99,62,75,6.91,Clouds
56,Homer,US,59.6425,-151.5483,48.2,57,1,2.64,Clear
57,Cap-Aux-Meules,CA,47.3821,-61.8597,37.4,100,100,17.27,Clouds
58,Severo-Kurilsk,RU,50.6789,156.125,34.3,89,100,24.43,Clouds
59,Luderitz,NA,-26.6481,15.1594,77.34,45,26,8.21,Clouds
60,Manuk Mangkaw,PH,4.8,119.85,81.75,74,99,11.72,Clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,40,9.22,Rain
62,Tabory,RU,58.5198,64.5495,23.97,53,6,6.11,Clear
63,Umm Lajj,SA,25.0213,37.2685,80.15,65,0,8.57,Clear
64,Hamilton,US,39.1834,-84.5333,62.01,33,1,4.61,Clear
65,Jaque,PA,7.5175,-78.1703,84.11,67,99,6.46,Clouds
66,Port Alfred,ZA,-33.5906,26.891,73.63,55,0,5.39,Clear
67,Yazykovo,RU,55.2199,56.1353,37.83,54,42,17.0,Clouds
68,Urumqi,CN,43.801,87.6005,60.8,36,0,6.71,Clear
69,Gualaquiza,EC,-3.4,-78.55,74.17,78,60,3.09,Rain
70,Cherskiy,RU,68.75,161.3,23.16,96,100,9.33,Snow
71,Fuyu,CN,45.1833,124.8167,47.79,36,4,7.31,Clear
72,Inhambane,MZ,-23.865,35.3833,71.01,73,20,6.38,Clouds
73,Alenquer,BR,-1.9417,-54.7383,78.8,89,75,4.61,Clouds
74,Tigil,RU,57.8,158.6667,20.86,93,96,3.96,Clouds
75,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,0,9.22,Clear
76,Gravdal,NO,68.1214,13.5031,48.2,57,0,8.05,Clear
77,Pevek,RU,69.7008,170.3133,19.09,82,86,20.67,Clouds
78,Makokou,GA,0.5738,12.8642,72.18,95,100,1.74,Rain
79,Le Francois,MQ,14.6156,-60.9031,87.8,58,75,19.57,Clouds
80,Rawlins,US,41.7911,-107.2387,46.0,39,1,14.97,Clear
81,Kruisfontein,ZA,-34.0033,24.7314,69.01,45,0,1.01,Clear
82,Coracora,PE,-15.0333,-73.7833,63.61,39,5,9.19,Clear
83,Liverpool,GB,53.4106,-2.9779,60.8,41,20,3.44,Clouds
84,Ostrovnoy,RU,68.0531,39.5131,33.51,87,81,14.27,Clouds
85,Magdeburg,DE,52.1667,11.6667,50.0,87,100,3.0,Clouds
86,Bonthe,SL,7.5264,-12.505,83.86,69,74,10.58,Clouds
87,Puebloviejo,CO,10.9938,-74.2844,91.4,58,75,5.75,Clouds
88,Atuona,PF,-9.8,-139.0333,81.39,70,90,16.84,Clouds
89,Mayo,US,38.8876,-76.5119,64.0,67,1,12.66,Clear
90,Port-Gentil,GA,-0.7193,8.7815,82.4,83,20,6.91,Clouds
91,Mehamn,NO,71.0357,27.8492,39.2,70,0,17.27,Clear
92,Boffa,GN,10.1667,-14.0333,83.07,63,87,11.3,Clouds
93,Yellowknife,CA,62.456,-114.3525,35.6,64,20,8.05,Clouds
94,Hornepayne,CA,49.2138,-84.7705,49.96,37,77,6.04,Clouds
95,Ukiah,US,39.1502,-123.2078,71.01,36,1,3.44,Clear
96,Constitucion,CL,-35.3333,-72.4167,65.23,58,43,6.38,Clouds
97,Meulaboh,ID,4.1363,96.1285,77.52,85,86,1.5,Clouds
98,Ancud,CL,-41.8697,-73.8203,55.4,88,90,11.5,Rain
99,Kapaa,US,22.0752,-159.319,71.6,73,90,8.05,Clouds
100,Kavieng,PG,-2.5744,150.7967,81.73,77,93,9.04,Rain
101,Saldanha,ZA,-33.0117,17.9442,69.8,60,5,6.91,Clear
102,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,64,20,14.97,Clouds
103,Maniitsoq,GL,65.4167,-52.9,19.74,57,90,13.15,Clouds
104,Ilulissat,GL,69.2167,-51.1,10.4,48,94,9.22,Clouds
105,Gurupa,BR,-1.405,-51.64,71.29,98,100,3.11,Clouds
106,Butaritari,KI,3.0707,172.7902,82.54,77,75,12.55,Clouds
107,Mahon,ES,39.8885,4.2658,57.2,44,0,12.66,Clear
108,Mukhen,RU,48.1,136.1,38.21,92,82,4.7,Clouds
109,Jinchang,CN,38.4953,102.1739,55.17,24,100,6.44,Clouds
110,Upernavik,GL,72.7868,-56.1549,11.97,75,100,3.58,Clouds
111,Nikolskoye,RU,59.7035,30.7861,53.6,32,0,13.42,Clear
112,Fuxin,CN,42.0156,121.6589,60.66,16,50,11.45,Clouds
113,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,90,12.66,Clouds
114,Broome,US,42.2506,-75.833,55.4,44,20,9.22,Clouds
115,Buin,CL,-33.7333,-70.75,73.0,63,23,6.42,Haze
116,Clyde River,CA,70.4692,-68.5914,6.8,85,90,10.36,Mist
117,Hambantota,LK,6.1241,81.1185,80.94,78,54,11.61,Clouds
